Forest,Permit number,Issue date,Number of trees,Permit cost,Expiration date
Flathead,157,11/20/2018,1,5,1/2/2019
Shoshone,159,11/20/2018,4,32,12/31/2018
Arapaho and Roosevelt,162,11/20/2018,1,20,1/6/2019
Flathead,163,11/20/2018,2,10,1/2/2019
Mt. Hood,164,11/20/2018,1,5,12/31/2018
Flathead,165,11/20/2018,1,5,1/2/2019
Mt. Hood,167,11/20/2018,1,5,12/31/2018
Flathead,168,11/20/2018,1,5,1/2/2019
Shoshone,169,11/20/2018,1,8,12/31/2018
Shoshone,170,11/20/2018,2,16,12/31/2018
Arapaho and Roosevelt,171,11/20/2018,1,20,1/6/2019
Arapaho and Roosevelt,172,11/20/2018,1,20,1/6/2019
Mt. Hood,174,11/20/2018,2,10,12/31/2018
Flathead,173,11/20/2018,2,10,1/2/2019
Flathead,175,11/20/2018,1,5,1/2/2019
Flathead,176,11/20/2018,1,5,1/2/2019
Flathead,177,11/20/2018,1,5,1/2/2019
Mt. Hood,179,11/20/2018,1,5,12/31/2018
Arapaho and Roosevelt,180,11/20/2018,1,20,1/6/2019
Arapaho and Roosevelt,181,11/20/2018,1,20,1/6/2019
Mt. Hood,182,11/20/2018,1,5,12/31/2018
Flathead,183,11/20/2018,1,5,1/2/2019
Arapaho and Roosevelt,185,11/20/2018,1,20,1/6/2019
Flathead,186,11/20/2018,2,10,1/2/2019
Arapaho and Roosevelt,184,11/20/2018,1,20,1/6/2019
Arapaho and Roosevelt,187,11/20/2018,1,20,1/6/2019
Mt. Hood,188,11/20/2018,1,5,12/31/2018
Arapaho and Roosevelt,191,11/20/2018,1,20,1/6/2019
Mt. Hood,190,11/20/2018,4,20,12/31/2018
Arapaho and Roosevelt,192,11/20/2018,1,20,1/6/2019
Flathead,193,11/20/2018,1,5,1/2/2019
Flathead,195,11/20/2018,2,10,1/2/2019
Arapaho and Roosevelt,196,11/20/2018,1,20,1/6/2019
Flathead,194,11/20/2018,3,15,1/2/2019
Mt. Hood,198,11/20/2018,1,5,12/31/2018
Flathead,197,11/20/2018,1,5,1/2/2019
Arapaho and Roosevelt,199,11/20/2018,1,20,1/6/2019
Arapaho and Roosevelt,201,11/20/2018,1,20,1/6/2019
Flathead,202,11/20/2018,1,5,1/2/2019
Arapaho and Roosevelt,203,11/20/2018,1,20,1/6/2019
Flathead,200,11/20/2018,2,10,1/2/2019
Arapaho and Roosevelt,204,11/20/2018,4,80,1/6/2019
Arapaho and Roosevelt,205,11/20/2018,1,20,1/6/2019
Arapaho and Roosevelt,206,11/20/2018,1,20,1/6/2019
Arapaho and Roosevelt,209,11/20/2018,1,20,1/6/2019
Arapaho and Roosevelt,208,11/20/2018,2,40,1/6/2019
Flathead,210,11/20/2018,1,5,1/2/2019
Arapaho and Roosevelt,211,11/20/2018,2,40,1/6/2019
Mt. Hood,212,11/20/2018,1,5,12/31/2018
Arapaho and Roosevelt,213,11/20/2018,2,40,1/6/2019
Arapaho and Roosevelt,214,11/20/2018,1,20,1/6/2019
Mt. Hood,215,11/20/2018,1,5,12/31/2018
Flathead,216,11/20/2018,1,5,1/2/2019
Mt. Hood,217,11/20/2018,1,5,12/31/2018
Shoshone,218,11/20/2018,1,8,12/31/2018
Arapaho and Roosevelt,219,11/20/2018,1,20,1/6/2019
Mt. Hood,221,11/20/2018,2,10,12/31/2018
Shoshone,222,11/20/2018,1,8,12/31/2018
Arapaho and Roosevelt,225,11/20/2018,1,20,1/6/2019
Shoshone,226,11/20/2018,1,8,12/31/2018
Arapaho and Roosevelt,227,11/20/2018,1,20,1/6/2019
Arapaho and Roosevelt,228,11/20/2018,1,20,1/6/2019
Mt. Hood,230,11/20/2018,1,5,12/31/2018
Mt. Hood,231,11/20/2018,1,5,12/31/2018
Arapaho and Roosevelt,232,11/20/2018,1,20,1/6/2019
Flathead,233,11/20/2018,1,5,1/2/2019
Arapaho and Roosevelt,234,11/20/2018,3,60,1/6/2019
Arapaho and Roosevelt,235,11/20/2018,1,20,1/6/2019
Flathead,236,11/20/2018,1,5,1/2/2019
Arapaho and Roosevelt,238,11/20/2018,1,20,1/6/2019
Arapaho and Roosevelt,240,11/20/2018,1,20,1/6/2019
Flathead,242,11/20/2018,2,10,1/2/2019
Mt. Hood,241,11/20/2018,1,5,12/31/2018
Flathead,244,11/20/2018,1,5,1/2/2019
Mt. Hood,246,11/20/2018,1,5,12/31/2018
Arapaho and Roosevelt,249,11/20/2018,1,20,1/6/2019
Flathead,248,11/20/2018,1,5,1/2/2019
Mt. Hood,250,11/20/2018,1,5,12/31/2018
Arapaho and Roosevelt,251,11/20/2018,3,60,1/6/2019
Arapaho and Roosevelt,252,11/20/2018,1,20,1/6/2019
Arapaho and Roosevelt,253,11/20/2018,1,20,1/6/2019
Flathead,257,11/20/2018,1,5,1/2/2019
Mt. Hood,258,11/20/2018,1,5,12/31/2018
Flathead,259,11/20/2018,1,5,1/2/2019
Mt. Hood,260,11/20/2018,1,5,12/31/2018
Arapaho and Roosevelt,261,11/20/2018,1,20,1/6/2019
Shoshone,264,11/20/2018,1,8,12/31/2018
Arapaho and Roosevelt,265,11/20/2018,1,20,1/6/2019
Mt. Hood,267,11/20/2018,1,5,12/31/2018
Mt. Hood,268,11/20/2018,1,5,12/31/2018
Arapaho and Roosevelt,269,11/20/2018,1,20,1/6/2019
Arapaho and Roosevelt,271,11/20/2018,1,20,1/6/2019
Arapaho and Roosevelt,272,11/20/2018,1,20,1/6/2019
Arapaho and Roosevelt,275,11/20/2018,1,20,1/6/2019
Flathead,277,11/20/2018,1,5,1/2/2019
Flathead,278,11/20/2018,1,5,1/2/2019
Mt. Hood,279,11/20/2018,1,5,12/31/2018
Mt. Hood,284,11/20/2018,1,5,12/31/2018
Mt. Hood,283,11/20/2018,1,5,12/31/2018
Arapaho and Roosevelt,285,11/20/2018,1,20,1/6/2019
Arapaho and Roosevelt,291,11/21/2018,2,40,1/6/2019
Arapaho and Roosevelt,292,11/21/2018,1,20,1/6/2019
Flathead,293,11/21/2018,1,5,1/2/2019
Mt. Hood,294,11/21/2018,1,5,12/31/2018
Flathead,295,11/21/2018,1,5,1/2/2019
Flathead,296,11/21/2018,2,10,1/2/2019
Flathead,297,11/21/2018,2,10,1/2/2019
Arapaho and Roosevelt,299,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,300,11/21/2018,2,40,1/6/2019
Shoshone,301,11/21/2018,1,8,12/31/2018
Flathead,302,11/21/2018,2,10,1/2/2019
Arapaho and Roosevelt,303,11/21/2018,1,20,1/6/2019
Mt. Hood,304,11/21/2018,3,15,12/31/2018
Flathead,307,11/21/2018,1,5,1/2/2019
Mt. Hood,306,11/21/2018,1,5,12/31/2018
Flathead,309,11/21/2018,1,5,1/2/2019
Arapaho and Roosevelt,310,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,311,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,313,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,314,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,315,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,316,11/21/2018,1,20,1/6/2019
Flathead,317,11/21/2018,1,5,1/2/2019
Arapaho and Roosevelt,318,11/21/2018,2,40,1/6/2019
Mt. Hood,321,11/21/2018,1,5,12/31/2018
Mt. Hood,322,11/21/2018,1,5,12/31/2018
Shoshone,323,11/21/2018,1,8,12/31/2018
Arapaho and Roosevelt,319,11/21/2018,1,20,1/6/2019
Flathead,324,11/21/2018,3,15,1/2/2019
Arapaho and Roosevelt,326,11/21/2018,1,20,1/6/2019
Mt. Hood,327,11/21/2018,2,10,12/31/2018
Mt. Hood,328,11/21/2018,2,10,12/31/2018
Arapaho and Roosevelt,329,11/21/2018,2,40,1/6/2019
Arapaho and Roosevelt,330,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,332,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,333,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,331,11/21/2018,1,20,1/6/2019
Flathead,334,11/21/2018,2,10,1/2/2019
Mt. Hood,335,11/21/2018,1,5,12/31/2018
Arapaho and Roosevelt,338,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,340,11/21/2018,1,20,1/6/2019
Mt. Hood,341,11/21/2018,1,5,12/31/2018
Flathead,342,11/21/2018,1,5,1/2/2019
Arapaho and Roosevelt,343,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,345,11/21/2018,1,20,1/6/2019
Shoshone,344,11/21/2018,1,8,12/31/2018
Mt. Hood,346,11/21/2018,1,5,12/31/2018
Mt. Hood,347,11/21/2018,1,5,12/31/2018
Arapaho and Roosevelt,348,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,350,11/21/2018,1,20,1/6/2019
Mt. Hood,349,11/21/2018,1,5,12/31/2018
Mt. Hood,351,11/21/2018,1,5,12/31/2018
Arapaho and Roosevelt,352,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,357,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,355,11/21/2018,1,20,1/6/2019
Flathead,358,11/21/2018,1,5,1/2/2019
Mt. Hood,361,11/21/2018,1,5,12/31/2018
Arapaho and Roosevelt,359,11/21/2018,2,40,1/6/2019
Mt. Hood,363,11/21/2018,1,5,12/31/2018
Flathead,362,11/21/2018,1,5,1/2/2019
Arapaho and Roosevelt,364,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,365,11/21/2018,2,40,1/6/2019
Arapaho and Roosevelt,367,11/21/2018,1,20,1/6/2019
Flathead,368,11/21/2018,1,5,1/2/2019
Mt. Hood,369,11/21/2018,1,5,12/31/2018
Mt. Hood,370,11/21/2018,1,5,12/31/2018
Mt. Hood,371,11/21/2018,1,5,12/31/2018
Flathead,372,11/21/2018,1,5,1/2/2019
Mt. Hood,373,11/21/2018,1,5,12/31/2018
Flathead,375,11/21/2018,1,5,1/2/2019
Flathead,377,11/21/2018,2,10,1/2/2019
Flathead,378,11/21/2018,1,5,1/2/2019
Arapaho and Roosevelt,379,11/21/2018,1,20,1/6/2019
Mt. Hood,380,11/21/2018,1,5,12/31/2018
Flathead,376,11/21/2018,1,5,1/2/2019
Mt. Hood,383,11/21/2018,1,5,12/31/2018
Arapaho and Roosevelt,385,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,384,11/21/2018,1,20,1/6/2019
Shoshone,386,11/21/2018,3,24,12/31/2018
Arapaho and Roosevelt,389,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,390,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,392,11/21/2018,1,20,1/6/2019
Flathead,393,11/21/2018,1,5,1/2/2019
Mt. Hood,396,11/21/2018,1,5,12/31/2018
Mt. Hood,395,11/21/2018,1,5,12/31/2018
Flathead,397,11/21/2018,1,5,1/2/2019
Mt. Hood,399,11/21/2018,1,5,12/31/2018
Flathead,400,11/21/2018,1,5,1/2/2019
Arapaho and Roosevelt,401,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,402,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,403,11/21/2018,1,20,1/6/2019
Mt. Hood,405,11/21/2018,1,5,12/31/2018
Shoshone,407,11/21/2018,1,8,12/31/2018
Arapaho and Roosevelt,408,11/21/2018,2,40,1/6/2019
Flathead,409,11/21/2018,1,5,1/2/2019
Mt. Hood,410,11/21/2018,3,15,12/31/2018
Flathead,411,11/21/2018,1,5,1/2/2019
Mt. Hood,412,11/21/2018,2,10,12/31/2018
Flathead,413,11/21/2018,1,5,1/2/2019
Shoshone,414,11/21/2018,1,8,12/31/2018
Arapaho and Roosevelt,415,11/21/2018,3,60,1/6/2019
Flathead,416,11/21/2018,3,15,1/2/2019
Flathead,418,11/21/2018,2,10,1/2/2019
Flathead,419,11/21/2018,2,10,1/2/2019
Flathead,420,11/21/2018,2,10,1/2/2019
Flathead,421,11/21/2018,1,5,1/2/2019
Flathead,422,11/21/2018,1,5,1/2/2019
Arapaho and Roosevelt,424,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,425,11/21/2018,1,20,1/6/2019
Shoshone,426,11/21/2018,2,16,12/31/2018
Flathead,427,11/21/2018,1,5,1/2/2019
Shoshone,430,11/21/2018,5,40,12/31/2018
Arapaho and Roosevelt,429,11/21/2018,1,20,1/6/2019
Shoshone,431,11/21/2018,1,8,12/31/2018
Shoshone,432,11/21/2018,1,8,12/31/2018
Flathead,433,11/21/2018,3,15,1/2/2019
Flathead,435,11/21/2018,2,10,1/2/2019
Arapaho and Roosevelt,437,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,436,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,438,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,440,11/21/2018,1,20,1/6/2019
Flathead,442,11/21/2018,1,5,1/2/2019
Mt. Hood,443,11/21/2018,3,15,12/31/2018
Arapaho and Roosevelt,445,11/21/2018,1,20,1/6/2019
Flathead,447,11/21/2018,2,10,1/2/2019
Arapaho and Roosevelt,448,11/21/2018,1,20,1/6/2019
Mt. Hood,449,11/21/2018,1,5,12/31/2018
Mt. Hood,450,11/21/2018,1,5,12/31/2018
Flathead,451,11/21/2018,1,5,1/2/2019
Mt. Hood,452,11/21/2018,2,10,12/31/2018
Flathead,453,11/21/2018,1,5,1/2/2019
Flathead,454,11/21/2018,1,5,1/2/2019
Mt. Hood,455,11/21/2018,1,5,12/31/2018
Arapaho and Roosevelt,456,11/21/2018,1,20,1/6/2019
Flathead,457,11/21/2018,1,5,1/2/2019
Mt. Hood,458,11/21/2018,2,10,12/31/2018
Arapaho and Roosevelt,459,11/21/2018,1,20,1/6/2019
